"MacroTrends Data Download"
"BRK.A - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1981-03-23,475,490,475,475,20000
1981-03-24,475,490,475,475,50000
1981-03-25,475,475,475,475,0
1981-03-26,480,495,480,480,20000
1981-03-27,480,480,480,480,0
1981-03-30,480,480,480,480,0
1981-03-31,480,480,480,480,0
1981-04-01,485,505,485,485,10000
1981-04-02,495,510,495,495,70000
1981-04-03,495,495,495,495,0
1981-04-06,495,510,495,495,10000
1981-04-07,495,495,495,495,0
1981-04-08,495,510,490,490,10000
1981-04-09,500,510,500,500,20000
1981-04-10,500,500,500,500,0
1981-04-13,500,500,500,500,0
1981-04-14,500,500,500,500,0
1981-04-15,500,510,495,495,10000
1981-04-16,495,505,490,490,10000
1981-04-20,490,490,490,490,0
1981-04-21,495,510,495,495,20000
1981-04-22,495,510,495,495,30000
1981-04-23,500,515,500,500,20000
1981-04-24,500,500,500,500,0
1981-04-27,510,525,510,510,30000
1981-04-28,510,525,510,510,10000
1981-04-29,515,535,515,515,10000
1981-04-30,515,515,515,515,0
1981-05-01,515,515,515,515,0
1981-05-04,520,540,520,520,10000
1981-05-05,520,520,520,520,0
1981-05-06,520,520,520,520,0
1981-05-07,520,540,520,520,20000
1981-05-08,520,520,520,520,0
1981-05-11,520,520,520,520,0
1981-05-12,520,520,520,520,0
1981-05-13,520,520,520,520,0
1981-05-14,520,520,520,520,0
1981-05-15,525,540,525,525,10000
1981-05-18,525,540,525,525,20000
1981-05-19,525,535,520,520,20000
1981-05-20,520,520,520,520,0
1981-05-21,520,520,520,520,0
1981-05-22,520,520,520,520,0
1981-05-26,520,520,520,520,0
1981-05-27,520,520,520,520,0
1981-05-28,520,520,520,520,0
1981-05-29,520,520,520,520,0
1981-06-01,520,520,520,520,0
1981-06-02,525,540,525,525,10000
1981-06-03,525,540,525,525,20000
1981-06-04,525,525,525,525,0
1981-06-05,525,540,525,525,10000
1981-06-08,525,540,525,525,10000
1981-06-09,525,540,525,525,10000
1981-06-10,525,525,525,525,0
1981-06-11,525,540,525,525,10000
1981-06-12,525,540,525,525,20000
1981-06-15,525,540,525,525,10000
1981-06-16,525,540,525,525,20000
1981-06-17,525,525,525,525,0
1981-06-18,525,535,520,520,10000
1981-06-19,520,520,520,520,0
1981-06-22,520,530,520,520,100000
1981-06-23,520,530,515,515,20000
1981-06-24,515,515,515,515,0
1981-06-25,515,515,515,515,0
1981-06-26,515,515,515,515,0
1981-06-29,515,515,515,515,0
1981-06-30,515,525,510,510,10000
1981-07-01,510,525,510,510,20000
1981-07-02,510,515,500,500,10000
1981-07-06,500,505,490,490,10000
1981-07-07,490,505,490,490,30000
1981-07-08,490,505,490,490,10000
1981-07-09,490,490,490,490,0
1981-07-10,490,500,480,480,10000
1981-07-13,480,480,480,480,0
1981-07-14,480,480,480,480,0
1981-07-15,480,480,480,480,0
1981-07-16,480,480,480,480,0
1981-07-17,480,480,480,480,0
1981-07-20,480,490,470,470,40000
1981-07-21,470,470,470,470,0
1981-07-22,470,490,470,470,20000
1981-07-23,470,470,470,470,0
1981-07-24,470,490,470,470,30000
1981-07-27,470,470,470,470,0
1981-07-28,480,495,480,480,10000
1981-07-29,480,500,480,480,20000
1981-07-30,485,500,485,485,10000
1981-07-31,485,485,485,485,0
1981-08-03,485,485,485,485,0
1981-08-04,485,485,485,485,0
1981-08-05,485,485,485,485,0
1981-08-06,485,505,485,485,10000
1981-08-07,485,485,485,485,0
1981-08-10,485,485,485,485,0
